RegionName,StateName,HealthRegionName,MunicipalityName,MunicipalityLat,MunicipalityLon,match_0,match_1,match_2,match_3
Centro-Oeste,Goiás,Sudoeste I,Cachoeira Alta,-18.542748,-50.981810,,,,
Centro-Oeste,Goiás,Sudoeste I,Castelândia,-18.155496,-50.339585,,,,
Centro-Oeste,Goiás,Sudoeste I,Caçu,-18.701182,-51.130582,,,,
Centro-Oeste,Goiás,Sudoeste I,Itajá,-19.101551,-51.319310,,,,
Centro-Oeste,Goiás,Sudoeste I,Itarumã,-18.843602,-51.331265,,,,
Centro-Oeste,Goiás,Sudoeste I,Lagoa Santa,-19.183184,-51.284644,,,,
Centro-Oeste,Goiás,Sudoeste I,Maurilândia,-18.036517,-50.363951,,,,
Centro-Oeste,Goiás,Sudoeste I,Montividiu,-17.318115,-51.189747,,,,
Centro-Oeste,Goiás,Sudoeste I,Paranaiguara,-18.808155,-50.623750,,,,
Centro-Oeste,Goiás,Sudoeste I,Porteirão,-17.901410,-50.147984,,,,
Centro-Oeste,Goiás,Sudoeste I,Quirinópolis,-18.437361,-50.528854,,,,
Centro-Oeste,Goiás,Sudoeste I,Rio Verde,-17.739056,-51.038714,,,,
Centro-Oeste,Goiás,Sudoeste I,Santa Helena de Goiás,-17.801801,-50.578433,,,,
Centro-Oeste,Goiás,Sudoeste I,Santo Antônio da Barra,-17.524842,-50.630388,,,,
Centro-Oeste,Goiás,Sudoeste I,São Simão,-19.010065,-50.591235,,,,
Centro-Oeste,Goiás,Sudoeste I,Turvelândia,-17.754444,-50.312658,,,,
Centro-Oeste,Goiás,Sudoeste II,Aporé,-18.768084,-52.045359,,,,
Centro-Oeste,Goiás,Sudoeste II,Caiapônia,-17.007129,-51.814735,,,,
Centro-Oeste,Goiás,Sudoeste II,Chapadão do Céu,-18.465555,-52.633278,,,,
Centro-Oeste,Goiás,Sudoeste II,Doverlândia,-16.805075,-52.493335,,,,
Centro-Oeste,Goiás,Sudoeste II,Jataí,-17.909529,-51.732063,,,,
Centro-Oeste,Goiás,Sudoeste II,Mineiros,-17.630756,-52.766325,,,,
Centro-Oeste,Goiás,Sudoeste II,Perolândia,-17.494231,-52.224472,,,,
Centro-Oeste,Goiás,Sudoeste II,Portelândia,-17.350991,-52.704328,,,,
Centro-Oeste,Goiás,Sudoeste II,Santa Rita do Araguaia,-17.243818,-53.068677,,,,
Centro-Oeste,Goiás,Sudoeste II,Serranópolis,-18.224540,-52.211997,,,,
Centro-Oeste,Goiás,Sul,Aloândia,-17.693322,-49.465361,,,,
Centro-Oeste,Goiás,Sul,Bom Jesus de Goiás,-18.189108,-49.878366,,,,
Centro-Oeste,Goiás,Sul,Buriti Alegre,-18.125154,-49.007098,,,,
Centro-Oeste,Goiás,Sul,Cachoeira Dourada,-18.489998,-49.623337,,,,
Centro-Oeste,Goiás,Sul,Goiatuba,-17.993584,-49.659929,,,,
Centro-Oeste,Goiás,Sul,Gouvelândia,-18.509089,-50.155789,,,,
Centro-Oeste,Goiás,Sul,Inaciolândia,-18.508854,-49.915970,,,,
Centro-Oeste,Goiás,Sul,Itumbiara,-18.352756,-49.416391,,,,
Centro-Oeste,Goiás,Sul,Joviânia,-17.795371,-49.618039,,,,
Centro-Oeste,Goiás,Sul,Morrinhos,-17.774798,-49.129177,,,,
Centro-Oeste,Goiás,Sul,Panamá,-18.204175,-49.402987,,,,
Centro-Oeste,Goiás,Sul,Água Limpa,-18.078066,-48.791693,,,,
Centro-Oeste,Goiás,São Patrício I,Campos Verdes,-14.199959,-49.660384,,,,
Centro-Oeste,Goiás,São Patrício I,Carmo do Rio Verde,-15.425630,-49.743922,,,,
Centro-Oeste,Goiás,São Patrício I,Ceres,-15.276442,-49.636890,,,,
Centro-Oeste,Goiás,São Patrício I,Crixás,-14.639766,-50.065307,,,,
Centro-Oeste,Goiás,São Patrício I,Guarinos,-14.698902,-49.730910,,,,
Centro-Oeste,Goiás,São Patrício I,Ipiranga de Goiás,-15.169546,-49.670170,,,,
Centro-Oeste,Goiás,São Patrício I,Itapaci,-14.942398,-49.647961,,,,
Centro-Oeste,Goiás,São Patrício I,Morro Agudo de Goiás,-15.311231,-50.012082,,,,
Centro-Oeste,Goiás,São Patrício I,Nova América,-15.045448,-49.935181,,,,
Centro-Oeste,Goiás,São Patrício I,Nova Glória,-15.077893,-49.508759,,,,
Centro-Oeste,Goiás,São Patrício I,Pilar de Goiás,-14.586773,-49.521254,,,,
Centro-Oeste,Goiás,São Patrício I,Rialma,-15.340222,-49.532826,,,,
Centro-Oeste,Goiás,São Patrício I,Rianápolis,-15.472209,-49.439551,,,,
Centro-Oeste,Goiás,São Patrício I,Rubiataba,-15.181094,-49.876849,,,,
Centro-Oeste,Goiás,São Patrício I,Santa Isabel,-15.250572,-49.390290,,,,
Centro-Oeste,Goiás,São Patrício I,Santa Terezinha de Goiás,-14.322152,-49.672760,,,,
Centro-Oeste,Goiás,São Patrício I,São Luiz do Norte,-14.916091,-49.276577,,,,
Centro-Oeste,Goiás,São Patrício I,São Patrício,-15.367057,-49.827223,,,,
Centro-Oeste,Goiás,São Patrício I,Uirapuru,-14.149923,-49.966201,,,,
Centro-Oeste,Goiás,São Patrício I,Uruana,-15.577748,-49.643332,,,,
Centro-Oeste,Goiás,São Patrício II,Barro Alto,-14.907442,-48.881282,,,,
Centro-Oeste,Goiás,São Patrício II,Goianésia,-15.275565,-49.167613,,,,
Centro-Oeste,Goiás,São Patrício II,Itaguaru,-15.772514,-49.612705,,,,
Centro-Oeste,Goiás,São Patrício II,Jaraguá,-15.702027,-49.387203,,,,
Centro-Oeste,Goiás,São Patrício II,Mimoso de Goiás,-15.016947,-48.308499,,,,
Centro-Oeste,Goiás,São Patrício II,Padre Bernardo,-15.361212,-48.305202,,,,
Centro-Oeste,Goiás,São Patrício II,Santa Rita do Novo Destino,-14.876701,-49.056318,,,,
Centro-Oeste,Goiás,São Patrício II,Vila Propício,-15.269128,-48.814448,,,,
Centro-Oeste,Mato Grosso do Sul,Campo Grande,Alcinópolis,-18.209083,-53.748994,,,,
Centro-Oeste,Mato Grosso do Sul,Campo Grande,Anastácio,-20.695910,-55.772466,,,,
Centro-Oeste,Mato Grosso do Sul,Campo Grande,Aquidauana,-19.746297,-55.877075,,,,
Centro-Oeste,Mato Grosso do Sul,Campo Grande,Bandeirantes,-19.804593,-54.285558,,,,
Centro-Oeste,Mato Grosso do Sul,Campo Grande,Bela Vista,-21.936582,-56.534837,,,,
Centro-Oeste,Mato Grosso do Sul,Campo Grande,Bodoquena,-20.548727,-56.699578,,,,
Centro-Oeste,Mato Grosso do Sul,Campo Grande,Bonito,-21.033291,-56.482760,,,,
Centro-Oeste,Mato Grosso do Sul,Campo Grande,Camapuã,-19.341893,-53.869225,,,,
Centro-Oeste,Mato Grosso do Sul,Campo Grande,Campo Grande,-20.913529,-54.249426,,,,
Centro-Oeste,Mato Grosso do Sul,Campo Grande,Caracol,-21.940615,-57.089457,,,,
Centro-Oeste,Mato Grosso do Sul,Campo Grande,Chapadão do Sul,-18.994712,-52.698244,,,,
Centro-Oeste,Mato Grosso do Sul,Campo Grande,Corguinho,-19.807686,-55.057351,,,,
Centro-Oeste,Mato Grosso do Sul,Campo Grande,Costa Rica,-18.518609,-53.203138,,,,
Centro-Oeste,Mato Grosso do Sul,Campo Grande,Coxim,-18.281154,-54.673780,,,,
Centro-Oeste,Mato Grosso do Sul,Campo Grande,Dois Irmãos do Buriti,-20.600227,-55.362301,,,,
Centro-Oeste,Mato Grosso do Sul,Campo Grande,Figueirão,-18.744376,-53.862110,,,,
Centro-Oeste,Mato Grosso do Sul,Campo Grande,Guia Lopes da Laguna,-21.541725,-55.995780,,,,
Centro-Oeste,Mato Grosso do Sul,Campo Grande,Jaraguari,-20.227460,-54.347955,,,,
Centro-Oeste,Mato Grosso do Sul,Campo Grande,Jardim,-21.582511,-56.351453,,,,
Centro-Oeste,Mato Grosso do Sul,Campo Grande,Maracaju,-21.543259,-55.396408,,,,
Centro-Oeste,Mato Grosso do Sul,Campo Grande,Miranda,-20.121042,-56.596592,,,,
Centro-Oeste,Mato Grosso do Sul,Campo Grande,Nioaque,-21.101195,-55.900945,,,,
Centro-Oeste,Mato Grosso do Sul,Campo Grande,Nova Alvorada do Sul,-21.490941,-54.216459,,,,
Centro-Oeste,Mato Grosso do Sul,Campo Grande,Paraíso das Águas,-19.228316,-53.130185,,,,
Centro-Oeste,Mato Grosso do Sul,Campo Grande,Pedro Gomes,-17.914329,-54.339084,,,,
Centro-Oeste,Mato Grosso do Sul,Campo Grande,Porto Murtinho,-21.225992,-57.384109,,,,
Centro-Oeste,Mato Grosso do Sul,Campo Grande,Ribas do Rio Pardo,-20.596662,-53.544156,,,,
Centro-Oeste,Mato Grosso do Sul,Campo Grande,Rio Negro,-19.446750,-54.962882,,,,
Centro-Oeste,Mato Grosso do Sul,Campo Grande,Rio Verde de Mato Grosso,-18.813581,-55.043085,,,,
Centro-Oeste,Mato Grosso do Sul,Campo Grande,Rochedo,-19.952305,-54.704529,,,,
Centro-Oeste,Mato Grosso do Sul,Campo Grande,Sidrolândia,-21.093891,-54.942004,,,,
Centro-Oeste,Mato Grosso do Sul,Campo Grande,Sonora,-17.648704,-54.432605,,,,
