RegionName,StateName,HealthRegionName,MunicipalityName,RegionID,StateID,HealthRegionID,MunicipalityID,RegionLat,RegionLon,StateLat,StateLon,HealthRegionLat,HealthRegionLon,MunicipalityLat,MunicipalityLon
Nordeste,Paraíba,9ª Região,,2,14,166,,-8.634569,-41.740481,-7.121076,-36.832506,-6.858569,-38.505304,,
Nordeste,Pernambuco,Afogados da Ingazeira,,2,15,167,,-8.634569,-41.740481,-8.325304,-37.998436,-7.646120,-37.440294,,
Nordeste,Pernambuco,Arcoverde,,2,15,168,,-8.634569,-41.740481,-8.325304,-37.998436,-8.592391,-37.545163,,
Nordeste,Pernambuco,Caruaru,,2,15,169,,-8.634569,-41.740481,-8.325304,-37.998436,-8.273943,-36.189651,,
Nordeste,Pernambuco,Garanhuns,,2,15,170,,-8.634569,-41.740481,-8.325304,-37.998436,-8.991774,-36.715263,,
Nordeste,Pernambuco,Goiana,,2,15,171,,-8.634569,-41.740481,-8.325304,-37.998436,-7.560353,-35.166038,,
Nordeste,Pernambuco,Limoeiro,,2,15,172,,-8.634569,-41.740481,-8.325304,-37.998436,-7.853524,-35.482968,,
Nordeste,Pernambuco,Ouricuri,,2,15,173,,-8.634569,-41.740481,-8.325304,-37.998436,-7.874951,-40.086323,,
Nordeste,Pernambuco,Palmares,,2,15,174,,-8.634569,-41.740481,-8.325304,-37.998436,-8.641065,-35.499558,,
Nordeste,Pernambuco,Petrolina,,2,15,175,,-8.634569,-41.740481,-8.325304,-37.998436,-8.721404,-40.264903,,
Nordeste,Pernambuco,Recife,,2,15,176,,-8.634569,-41.740481,-8.325304,-37.998436,-8.089716,-35.096756,,
Nordeste,Pernambuco,Salgueiro,,2,15,177,,-8.634569,-41.740481,-8.325304,-37.998436,-8.174606,-39.093263,,
Nordeste,Pernambuco,Serra Talhada,,2,15,178,,-8.634569,-41.740481,-8.325304,-37.998436,-8.239390,-38.349177,,
Nordeste,Piauí,Carnaubais,,2,16,179,,-8.634569,-41.740481,-7.389259,-42.970222,-5.299197,-41.603502,,
Nordeste,Piauí,Chapada das Mangabeiras,,2,16,180,,-8.634569,-41.740481,-7.389259,-42.970222,-9.518851,-44.733711,,
Nordeste,Piauí,Cocais,,2,16,181,,-8.634569,-41.740481,-7.389259,-42.970222,-4.086354,-41.881765,,
Nordeste,Piauí,Entre Rios,,2,16,182,,-8.634569,-41.740481,-7.389259,-42.970222,-5.398244,-42.601266,,
Nordeste,Piauí,Planície Litorânea,,2,16,183,,-8.634569,-41.740481,-7.389259,-42.970222,-3.276753,-41.657366,,
Nordeste,Piauí,Serra da Capivara,,2,16,184,,-8.634569,-41.740481,-7.389259,-42.970222,-8.893306,-42.585042,,
Nordeste,Piauí,Tabuleiros do Alto Parnaíba,,2,16,185,,-8.634569,-41.740481,-7.389259,-42.970222,-8.033079,-44.818152,,
Nordeste,Piauí,Vale do Canindé,,2,16,186,,-8.634569,-41.740481,-7.389259,-42.970222,-7.428440,-41.978154,,
Nordeste,Piauí,Vale do Rio Guaribas,,2,16,187,,-8.634569,-41.740481,-7.389259,-42.970222,-7.471215,-41.131981,,
Nordeste,Piauí,Vale do Sambito,,2,16,188,,-8.634569,-41.740481,-7.389259,-42.970222,-6.287195,-41.669143,,
Nordeste,Piauí,Vale dos Rios Piauí e Itaueiras,,2,16,189,,-8.634569,-41.740481,-7.389259,-42.970222,-7.645577,-43.132271,,
Nordeste,Rio Grande do Norte,1ª Região de Saúde - São José de Mipibu,,2,17,190,,-8.634569,-41.740481,-5.839472,-36.673280,-6.280360,-35.336357,,
Nordeste,Rio Grande do Norte,2ª Região de Saúde - Mossoró,,2,17,191,,-8.634569,-41.740481,-5.839472,-36.673280,-5.451762,-37.459856,,
Nordeste,Rio Grande do Norte,3ª Região de Saúde - João Câmara,,2,17,192,,-8.634569,-41.740481,-5.839472,-36.673280,-5.439960,-35.965576,,
Nordeste,Rio Grande do Norte,4ª Região de Saúde - Caicó,,2,17,193,,-8.634569,-41.740481,-5.839472,-36.673280,-6.320053,-36.818923,,
